TIMESTAMP: 16.700000, X: -2.501827, Y: 3.970896, Z: -2.711266, PITCH: -0.189210, YAW: -2.497445
TIMESTAMP: 16.800000, X: -2.503683, Y: 3.820991, Z: -2.696469, PITCH: -0.188513, YAW: -2.506817
TIMESTAMP: 16.900000, X: -2.507201, Y: 3.670469, Z: -2.680422, PITCH: -0.187813, YAW: -2.516326
TIMESTAMP: 17.000000, X: -2.512616, Y: 3.519442, Z: -2.662798, PITCH: -0.186935, YAW: -2.525648
TIMESTAMP: 17.100000, X: -2.520155, Y: 3.368014, Z: -2.643283, PITCH: -0.186050, YAW: -2.534886
TIMESTAMP: 17.200000, X: -2.530033, Y: 3.216277, Z: -2.621578, PITCH: -0.185493, YAW: -2.544660
TIMESTAMP: 17.300000, X: -2.542454, Y: 3.064317, Z: -2.597401, PITCH: -0.184951, YAW: -2.554503
TIMESTAMP: 17.400000, X: -2.557607, Y: 2.912210, Z: -2.570493, PITCH: -0.183799, YAW: -2.563237
TIMESTAMP: 17.500000, X: -2.575665, Y: 2.760021, Z: -2.540616, PITCH: -0.182603, YAW: -2.571865
TIMESTAMP: 17.600000, X: -2.596786, Y: 2.607808, Z: -2.507558, PITCH: -0.182590, YAW: -2.582708
TIMESTAMP: 17.700000, X: -2.621107, Y: 2.455621, Z: -2.471136, PITCH: -0.182761, YAW: -2.593912
TIMESTAMP: 17.800000, X: -2.648749, Y: 2.303502, Z: -2.431195, PITCH: -0.180321, YAW: -2.600185
TIMESTAMP: 17.900000, X: -2.679808, Y: 2.151484, Z: -2.387614, PITCH: -0.175931, YAW: -2.602757
TIMESTAMP: 18.000000, X: -2.714364, Y: 1.999596, Z: -2.340302, PITCH: -0.175629, YAW: -2.613065
TIMESTAMP: 18.100000, X: -2.752470, Y: 1.847860, Z: -2.289204, PITCH: -0.184863, YAW: -2.641447
TIMESTAMP: 18.200000, X: -2.794160, Y: 1.696295, Z: -2.234298, PITCH: -0.201967, YAW: -2.684752
TIMESTAMP: 18.300000, X: -2.839444, Y: 1.544915, Z: -2.175598, PITCH: -0.220275, YAW: -2.730317
